"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1,"宅地(土地と建物)","住宅地","31201","鳥取県","鳥取市","相生町","鳥取","20",15000000,"","","810",,"不整形","22.0","50","","木造","住宅","住宅","北東","市道",2.5,"第１種住居地域",60,200,"平成30年第１四半期","",""
2,"宅地(土地と建物)","住宅地","31201","鳥取県","鳥取市","相生町","鳥取","25",5400000,"","","135",,"不整形","15.0","95","昭和52年","木造","住宅","住宅","北東","市道",4.0,"第１種住居地域",60,200,"平成30年第１四半期","",""
3,"宅地(土地と建物)","住宅地","31201","鳥取県","鳥取市","相生町","鳥取","21",10000000,"","","200",,"ほぼ整形","16.0","75","平成3年","木造","住宅","住宅","南西","市道",10.0,"第１種住居地域",60,200,"平成29年第３四半期","",""
4,"宅地(土地と建物)","住宅地","31201","鳥取県","鳥取市","相生町","鳥取","21",16000000,"","","200",,"ほぼ長方形","16.0","75","平成3年","木造","住宅","住宅","西","市道",11.0,"第１種住居地域",60,200,"平成29年第３四半期","",""
5,"宅地(土地と建物)","住宅地","31201","鳥取県","鳥取市","相生町","鳥取","19",18000000,"","","130",,"ほぼ長方形","7.0","100","昭和50年","木造","住宅","住宅","西","市道",8.0,"第１種住居地域",60,200,"平成29年第２四半期","",""
6,"宅地(土地)","住宅地","31201","鳥取県","鳥取市","相生町","鳥取","25",5800000,"140000","","135",44000,"ほぼ長方形","9.5","","","","","住宅","西","市道",4.5,"第１種住居地域",60,200,"平成29年第１四半期","",""
7,"宅地(土地と建物)","商業地","31201","鳥取県","鳥取市","相生町","鳥取","30分?60分",34000000,"","","300",,"不整形","21.0","290","平成7年","鉄骨造","事務所","事務所","南東","国道",13.0,"近隣商業地域",80,200,"平成29年第１四半期","",""
8,"宅地(土地と建物)","住宅地","31201","鳥取県","鳥取市","相生町","鳥取","24",24000000,"","","320",,"不整形","7.5","170","平成元年","木造","住宅","住宅","東","市道",7.5,"第１種住居地域",60,200,"平成28年第４四半期","",""
9,"宅地(土地と建物)","住宅地","31201","鳥取県","鳥取市","相生町","鳥取","19",28000000,"","","130",,"ほぼ長方形","7.5","165","平成16年","鉄骨造","住宅","","西","市道",8.0,"第１種住居地域",60,200,"平成28年第４四半期","",""
10,"宅地(土地と建物)","住宅地","31201","鳥取県","鳥取市","相生町","鳥取","26",25000000,"","","145",,"ほぼ長方形","8.3","90","平成28年","木造","住宅","住宅","南西","市道",4.0,"近隣商業地域",80,200,"平成28年第４四半期","",""
11,"宅地(土地)","住宅地","31201","鳥取県","鳥取市","相生町","鳥取","25",7800000,"200000","","130",60000,"ほぼ長方形","7.0","","","","","住宅","西","市道",9.0,"第１種住居地域",60,200,"平成28年第３四半期","",""
12,"宅地(土地)","住宅地","31201","鳥取県","鳥取市","相生町","鳥取","21",7000000,"160000","","145",49000,"ほぼ長方形","9.5","","","","","住宅","西","市道",5.0,"第１種住居地域",60,200,"平成28年第２四半期","",""
13,"宅地(土地と建物)","商業地","31201","鳥取県","鳥取市","相生町","鳥取","21",6600000,"","","75",,"ほぼ台形","7.0","80","昭和36年","木造","住宅","","西","市道",9.0,"第１種住居地域",60,200,"平成28年第１四半期","",""
14,"宅地(土地)","住宅地","31201","鳥取県","鳥取市","相生町","鳥取","25",2000000,"120000","","55",35000,"ほぼ長方形","10.0","","","","","その他","接面道路無","",,"第１種住居地域",60,200,"平成27年第３四半期","",""
15,"宅地(土地)","住宅地","31201","鳥取県","鳥取市","相生町","鳥取","25",8500000,"140000","","200",42000,"ほぼ台形","9.0","","","","","その他","北","市道",6.0,"第１種住居地域",60,200,"平成27年第３四半期","",""
16,"宅地(土地と建物)","住宅地","31201","鳥取県","鳥取市","相生町","鳥取","24",6000000,"","","130",,"ほぼ長方形","6.5","115","昭和33年","木造","住宅","住宅","北西","市道",4.0,"第１種住居地域",60,200,"平成27年第１四半期","",""
17,"宅地(土地と建物)","住宅地","31201","鳥取県","鳥取市","相生町","鳥取","23",6800000,"","","140",,"ほぼ長方形","8.0","95","昭和49年","木造","住宅","住宅","南西","市道",4.0,"第１種住居地域",60,200,"平成26年第３四半期","",""
18,"宅地(土地)","住宅地","31201","鳥取県","鳥取市","相生町","鳥取","27",7100000,"180000","","130",54000,"ほぼ長方形","7.0","","","","","住宅","北東","市道",7.0,"近隣商業地域",80,300,"平成26年第３四半期","",""
19,"宅地(土地と建物)","住宅地","31201","鳥取県","鳥取市","相生町","鳥取","25",9500000,"","","130",,"ほぼ長方形","7.0","80","昭和53年","軽量鉄骨造","住宅","住宅","北西","市道",8.0,"第１種住居地域",60,200,"平成26年第２四半期","",""
20,"宅地(土地)","住宅地","31201","鳥取県","鳥取市","相生町","鳥取","29",7200000,"170000","","135",53000,"台形","10.5","","","","","","西","市道",6.0,"第１種住居地域",60,200,"平成26年第１四半期","",""
21,"宅地(土地)","住宅地","31201","鳥取県","鳥取市","相生町","鳥取","24",7500000,"190000","","125",59000,"ほぼ長方形","9.0","","","","","","南","市道",4.0,"第１種住居地域",60,200,"平成25年第４四半期","",""
22,"宅地(土地)","住宅地","31201","鳥取県","鳥取市","相生町","鳥取","26",7200000,"170000","","140",51000,"ほぼ台形","11.0","","","","","","北東","市道",4.0,"近隣商業地域",80,300,"平成25年第４四半期","",""
23,"宅地(土地)","住宅地","31201","鳥取県","鳥取市","相生町","鳥取","19",13000000,"230000","","185",69000,"ほぼ長方形","9.5","","","","","","東","県道",15.0,"近隣商業地域",80,300,"平成25年第４四半期","",""
24,"宅地(土地と建物)","住宅地","31201","鳥取県","鳥取市","相生町","鳥取","25",25000000,"","","145",,"ほぼ整形","10.0","105","平成25年","木造","住宅","","北西","市道",11.0,"第１種住居地域",60,200,"平成25年第３四半期","",""
25,"宅地(土地)","住宅地","31201","鳥取県","鳥取市","相生町","鳥取","24",1900000,"150000","","40",45000,"ほぼ長方形","4.0","","","","","","北東","市道",8.0,"第１種住居地域",60,200,"平成25年第２四半期","","隣地の購入"
26,"宅地(土地と建物)","商業地","31201","鳥取県","鳥取市","相生町","鳥取","18",17000000,"","","160",,"ほぼ長方形","16.0","50","平成22年","木造","事務所","","南西","県道",16.0,"近隣商業地域",80,300,"平成25年第１四半期","",""
27,"中古マンション等","","31201","鳥取県","鳥取市","青葉町","鳥取","30分?60分",19000000,"","２ＬＤＫ","80",,"","","","平成20年","ＲＣ","","住宅","","",,"近隣商業地域",80,200,"平成29年第３四半期","改装済",""
28,"宅地(土地と建物)","商業地","31201","鳥取県","鳥取市","青葉町","鳥取","27",25000000,"","","500",,"ほぼ台形","15.0","680","昭和49年","ＲＣ","事務所","事務所","南西","国道",15.0,"近隣商業地域",80,300,"平成28年第１四半期","",""
29,"宅地(土地)","住宅地","31201","鳥取県","鳥取市","青葉町","鳥取","30分?60分",6500000,"160000","","135",48000,"ほぼ正方形","11.0","","","","","住宅","南","市道",3.5,"第２種中高層住居専用地域",60,200,"平成27年第１四半期","",""
30,"宅地(土地)","住宅地","31201","鳥取県","鳥取市","青葉町","鳥取","30分?60分",10000000,"190000","","175",58000,"ほぼ台形","9.0","","","","","","西","市道",4.0,"第１種中高層住居専用地域",60,200,"平成25年第２四半期","",""
31,"宅地(土地)","住宅地","31201","鳥取県","鳥取市","青谷町青谷","青谷","12",2200000,"43000","","175",13000,"ほぼ長方形","15.0","","","","","その他","北西","道路",2.5,"市街化区域及び市街化調整区域外の都市計画区域",70,400,"平成30年第１四半期","",""
32,"宅地(土地)","住宅地","31201","鳥取県","鳥取市","青谷町青谷","青谷","15",500000,"7500","","220",2300,"ほぼ長方形","8.0","","","","","","南東","市道",2.5,"市街化区域及び市街化調整区域外の都市計画区域",70,400,"平成29年第４四半期","",""
33,"宅地(土地)","住宅地","31201","鳥取県","鳥取市","青谷町青谷","青谷","3",1300000,"54000","","80",16000,"ほぼ長方形","7.0","","","","","その他","南西","私道",2.0,"市街化区域及び市街化調整区域外の都市計画区域",70,400,"平成29年第１四半期","",""
34,"宅地(土地)","住宅地","31201","鳥取県","鳥取市","青谷町青谷","青谷","8",8400000,"41000","","670",12000,"ほぼ台形","","","","","","その他","南西","市道",8.0,"市街化区域及び市街化調整区域外の都市計画区域",70,400,"平成29年第１四半期","",""
35,"宅地(土地)","住宅地","31201","鳥取県","鳥取市","青谷町青谷","青谷","13",3700000,"49000","","250",15000,"ほぼ長方形","15.0","","","","","その他","南","市道",9.0,"市街化区域及び市街化調整区域外の都市計画区域",70,400,"平成28年第４四半期","",""
36,"宅地(土地と建物)","工業地","31201","鳥取県","鳥取市","青谷町青谷","青谷","8",1000000,"","","510",,"ほぼ長方形","20.0","240","昭和60年","","","倉庫","北東","市道",6.0,"市街化区域及び市街化調整区域外の都市計画区域",70,400,"平成28年第３四半期","",""
37,"宅地(土地と建物)","住宅地","31201","鳥取県","鳥取市","青谷町青谷","青谷","14",5500000,"","","230",,"ほぼ台形","16.5","130","昭和60年","木造","住宅","住宅","南西","市道",6.0,"市街化区域及び市街化調整区域外の都市計画区域",60,400,"平成28年第３四半期","",""
38,"宅地(土地と建物)","住宅地","31201","鳥取県","鳥取市","青谷町青谷","青谷","14",6400000,"","","620",,"ほぼ台形","20.0","155","","木造","事務所","その他","南東","市道",6.0,"市街化区域及び市街化調整区域外の都市計画区域",70,400,"平成28年第３四半期","",""
39,"宅地(土地)","住宅地","31201","鳥取県","鳥取市","青谷町青谷","青谷","9",700000,"33000","","70",10000,"ほぼ長方形","6.0","","","","","倉庫","南東","市道",4.0,"市街化区域及び市街化調整区域外の都市計画区域",70,400,"平成27年第３四半期","",""
40,"宅地(土地)","住宅地","31201","鳥取県","鳥取市","青谷町青谷","青谷","8",2000000,"34000","","195",10000,"ほぼ長方形","10.0","","","","","住宅","南東","市道",3.0,"市街化区域及び市街化調整区域外の都市計画区域",70,400,"平成27年第３四半期","",""
41,"宅地(土地)","住宅地","31201","鳥取県","鳥取市","青谷町青谷","青谷","15",1500000,"51000","","100",15000,"ほぼ整形","7.0","","","","","その他","南東","県道",4.5,"市街化区域及び市街化調整区域外の都市計画区域",70,400,"平成27年第３四半期","",""
42,"宅地(土地)","商業地","31201","鳥取県","鳥取市","青谷町青谷","青谷","3",6600000,"70000","","310",21000,"不整形","12.0","","","","","その他","北東","県道",5.0,"市街化区域及び市街化調整区域外の都市計画区域",70,400,"平成26年第２四半期","",""
43,"宅地(土地)","住宅地","31201","鳥取県","鳥取市","青谷町青谷","青谷","8",190000,"9500","","65",2900,"不整形","24.0","","","","","","接面道路無","",,"市街化区域及び市街化調整区域外の都市計画区域",70,400,"平成25年第２四半期","",""
44,"宅地(土地と建物)","住宅地","31201","鳥取県","鳥取市","青谷町青谷","青谷","10",3500000,"","","250",,"ほぼ長方形","9.0","60","平成4年","木造","住宅","","北西","市道",5.0,"市街化区域及び市街化調整区域外の都市計画区域",70,400,"平成25年第１四半期","",""
45,"宅地(土地)","住宅地","31201","鳥取県","鳥取市","青谷町青谷","青谷","3",1100000,"35000","","105",11000,"ほぼ長方形","5.5","","","","","","北東","県道",7.0,"市街化区域及び市街化調整区域外の都市計画区域",70,400,"平成25年第１四半期","",""
46,"宅地(土地)","住宅地","31201","鳥取県","鳥取市","青谷町青谷","青谷","13",760000,"25000","","100",7600,"不整形","9.5","","","","","","東","町道",2.5,"市街化区域及び市街化調整区域外の都市計画区域",70,400,"平成25年第１四半期","",""
47,"宅地(土地と建物)","住宅地","31201","鳥取県","鳥取市","青谷町青谷","青谷","14",2000000,"","","240",,"ほぼ整形","20.0","90","平成8年","木造","住宅","","北西","市道",4.0,"市街化区域及び市街化調整区域外の都市計画区域",70,400,"平成25年第１四半期","",""
48,"宅地(土地)","住宅地","31201","鳥取県","鳥取市","青谷町青谷","青谷","3",3600000,"39000","","300",12000,"ほぼ長方形","19.5","","","","","","北西","市道",6.0,"市街化区域及び市街化調整区域外の都市計画区域",70,400,"平成25年第１四半期","",""
49,"宅地(土地)","住宅地","31201","鳥取県","鳥取市","青谷町青谷","鳥取","13",400000,"8200","","160",2500,"ほぼ整形","17.0","","","","","","北東","市道",4.0,"市街化区域及び市街化調整区域外の都市計画区域",70,300,"平成25年第１四半期","",""
50,"農地","","31201","鳥取県","鳥取市","青谷町青谷","","",2400000,"","","430",,"","","","","","","","","",,"",,,"平成30年第２四半期","",""
51,"林地","","31201","鳥取県","鳥取市","青谷町青谷","","",360000,"","","1200",,"","","","","","","","","",,"",,,"平成27年第２四半期","",""
52,"農地","","31201","鳥取県","鳥取市","青谷町青谷","","",37000,"","","125",,"","","","","","","","","",,"",,,"平成27年第１四半期","",""
53,"林地","","31201","鳥取県","鳥取市","青谷町青谷","","",65000,"","","220",,"","","","","","","","","",,"",,,"平成27年第１四半期","",""
54,"林地","","31201","鳥取県","鳥取市","青谷町青谷","","",46000,"","","155",,"","","","","","","","","",,"",,,"平成26年第４四半期","",""
55,"農地","","31201","鳥取県","鳥取市","青谷町青谷","","",37000,"","","125",,"","","","","","","","","",,"",,,"平成26年第４四半期","",""
56,"林地","","31201","鳥取県","鳥取市","青谷町青谷","","",34000,"","","110",,"","","","","","","","","",,"",,,"平成26年第４四半期","",""
57,"林地","","31201","鳥取県","鳥取市","青谷町青谷","","",56000,"","","185",,"","","","","","","","","",,"",,,"平成26年第４四半期","",""
58,"農地","","31201","鳥取県","鳥取市","青谷町青谷","","",4300000,"","","2000",,"","","","","","","その他","","",,"",,,"平成26年第３四半期","",""
59,"農地","","31201","鳥取県","鳥取市","青谷町青谷","","",10000000,"","","5000㎡以上",,"","","","","","","その他","","",,"",,,"平成26年第３四半期","",""
60,"林地","","31201","鳥取県","鳥取市","青谷町青谷","","",440000,"","","1300",,"","","","","","","","","",,"",,,"平成26年第２四半期","",""
61,"林地","","31201","鳥取県","鳥取市","青谷町青谷","","",200000,"","","580",,"","","","","","","","","",,"",,,"平成26年第２四半期","",""
62,"宅地(土地)","住宅地","31201","鳥取県","鳥取市","青谷町大坪","青谷","30分?60分",5500000,"50000","","370",15000,"ほぼ台形","16.0","","","","","","東","市道",5.0,"都市計画区域外",,,"平成25年第３四半期","","隣地の購入"
63,"農地","","31201","鳥取県","鳥取市","青谷町大坪","","",1200000,"","","3200",,"","","","","","","","","",,"",,,"平成29年第１四半期","",""
64,"宅地(土地)","住宅地","31201","鳥取県","鳥取市","青谷町小畑","青谷","1H30?2H",170000,"12000","","50",3600,"ほぼ整形","","","","","","","北","市道",3.0,"都市計画区域外",,,"平成30年第１四半期","",""
65,"宅地(土地)","住宅地","31201","鳥取県","鳥取市","青谷町小畑","青谷","1H30?2H",670000,"9600","","230",2900,"不整形","","","","","","","北","道路",2.0,"都市計画区域外",,,"平成30年第１四半期","",""
66,"宅地(土地と建物)","住宅地","31201","鳥取県","鳥取市","青谷町小畑","青谷","1H30?2H",8400000,"","","130",,"不整形","13.0","95","","","","","南","市道",4.0,"都市計画区域外",,,"平成27年第４四半期","",""
67,"林地","","31201","鳥取県","鳥取市","青谷町紙屋","","",110000,"","","360",,"","","","","","","","","",,"",,,"平成28年第１四半期","",""
68,"林地","","31201","鳥取県","鳥取市","青谷町紙屋","","",2300000,"","","5000㎡以上",,"","","","","","","","","",,"",,,"平成28年第１四半期","",""
69,"林地","","31201","鳥取県","鳥取市","青谷町紙屋","","",340000,"","","1100",,"","","","","","","","","",,"",,,"平成28年第１四半期","",""
70,"林地","","31201","鳥取県","鳥取市","青谷町紙屋","","",600000,"","","1900",,"","","","","","","","","",,"",,,"平成28年第１四半期","",""
71,"農地","","31201","鳥取県","鳥取市","青谷町亀尻","","",300000,"","","250",,"","","","","","","","","",,"",,,"平成26年第２四半期","",""
72,"宅地(土地と建物)","住宅地","31201","鳥取県","鳥取市","青谷町河原","青谷","1H?1H30",1300000,"","","1400",,"不整形","25.0","155","昭和54年","鉄骨造","倉庫","","南","市道",3.5,"都市計画区域外",,,"平成25年第４四半期","","調停・競売等"
73,"農地","","31201","鳥取県","鳥取市","青谷町河原","","",63000,"","","660",,"","","","","","","","","",,"",,,"平成26年第２四半期","",""
74,"農地","","31201","鳥取県","鳥取市","青谷町河原","","",70000,"","","350",,"","","","","","","","","",,"",,,"平成26年第２四半期","",""
75,"農地","","31201","鳥取県","鳥取市","青谷町絹見","","",100000,"","","2100",,"","","","","","","","","",,"",,,"平成30年第１四半期","",""
76,"宅地(土地)","住宅地","31201","鳥取県","鳥取市","青谷町蔵内","青谷","30分?60分",13000,"1100","","40",330,"ほぼ整形","5.0","","","","","","接面道路無","",,"都市計画区域外",,,"平成27年第１四半期","",""
77,"林地","","31201","鳥取県","鳥取市","青谷町蔵内","","",500000,"","","1700",,"","","","","","","","","",,"",,,"平成26年第４四半期","",""
78,"林地","","31201","鳥取県","鳥取市","青谷町蔵内","","",170000,"","","580",,"","","","","","","","","",,"",,,"平成26年第４四半期","",""
79,"林地","","31201","鳥取県","鳥取市","青谷町桑原","","",20000,"","","630",,"","","","","","","","","",,"",,,"平成28年第１四半期","",""
80,"宅地(土地)","住宅地","31201","鳥取県","鳥取市","青谷町露谷","青谷","23",1000000,"1100","","2000㎡以上",350,"不整形","22.0","","","","","","南","市道",3.0,"市街化区域及び市街化調整区域外の都市計画区域",,,"平成26年第４四半期","",""
81,"宅地(土地と建物)","住宅地","31201","鳥取県","鳥取市","青谷町露谷","青谷","23",2000000,"","","1000",,"ほぼ長方形","39.0","230","昭和53年","木造","住宅","住宅","接面道路無","",,"市街化区域及び市街化調整区域外の都市計画区域",,,"平成26年第４四半期","",""
82,"宅地(土地と建物)","住宅地","31201","鳥取県","鳥取市","青谷町露谷","青谷","23",17000000,"","","590",,"不整形","10.0","540","昭和56年","鉄骨造","事務所、倉庫","倉庫","南","市道",3.0,"市街化区域及び市街化調整区域外の都市計画区域",,,"平成26年第４四半期","",""
83,"宅地(土地と建物)","住宅地","31201","鳥取県","鳥取市","青谷町露谷","青谷","16",14000000,"","","330",,"不整形","10.5","135","平成13年","軽量鉄骨造","住宅","住宅","北東","市道",5.5,"市街化区域及び市街化調整区域外の都市計画区域",,,"平成26年第３四半期","",""
84,"林地","","31201","鳥取県","鳥取市","青谷町長和瀬","","",9500,"","","30",,"","","","","","","","","",,"",,,"平成29年第４四半期","",""
85,"宅地(土地)","住宅地","31201","鳥取県","鳥取市","青谷町山田","青谷","30分?60分",100000,"1400","","230",440,"ほぼ整形","20.0","","","","","その他","東","市道",2.0,"都市計画区域外",,,"平成27年第３四半期","",""
86,"宅地(土地)","住宅地","31201","鳥取県","鳥取市","青谷町山根","青谷","1H?1H30",750000,"23000","","110",6900,"ほぼ台形","11.0","","","","","","北東","県道",8.0,"都市計画区域外",,,"平成27年第２四半期","",""
87,"農地","","31201","鳥取県","鳥取市","青谷町山根","","",670000,"","","240",,"","","","","","","","","",,"",,,"平成29年第４四半期","",""
88,"農地","","31201","鳥取県","鳥取市","青谷町山根","","",470000,"","","170",,"","","","","","","","","",,"",,,"平成29年第３四半期","",""
89,"林地","","31201","鳥取県","鳥取市","青谷町山根","","",51000,"","","170",,"","","","","","","","","",,"",,,"平成29年第２四半期","",""
90,"宅地(土地)","住宅地","31201","鳥取県","鳥取市","青谷町養郷","青谷","29",4100000,"45000","","300",13000,"ほぼ長方形","15.0","","","","","住宅","東","市道",6.0,"都市計画区域外",,,"平成30年第１四半期","",""
91,"宅地(土地)","住宅地","31201","鳥取県","鳥取市","青谷町養郷","青谷","28",4100000,"45000","","300",13000,"ほぼ長方形","15.0","","","","","住宅","西","市道",6.0,"都市計画区域外",,,"平成28年第４四半期","",""
92,"農地","","31201","鳥取県","鳥取市","青谷町養郷","","",500000,"","","330",,"","","","","","","","","",,"",,,"平成27年第４四半期","",""
93,"宅地(土地)","住宅地","31201","鳥取県","鳥取市","秋里","鳥取","30分?60分",12000000,"230000","","165",70000,"ほぼ長方形","8.5","","","","","住宅","北西","市道",6.0,"第２種中高層住居専用地域",60,200,"平成30年第２四半期","",""
94,"宅地(土地)","住宅地","31201","鳥取県","鳥取市","秋里","鳥取","30分?60分",16000000,"120000","","420",37000,"ほぼ長方形","15.5","","","","","住宅","南西","市道",5.0,"第２種中高層住居専用地域",60,200,"平成29年第３四半期","",""
95,"宅地(土地)","住宅地","31201","鳥取県","鳥取市","秋里","鳥取","30分?60分",10000000,"130000","","250",40000,"袋地等","4.5","","","","","住宅","南西","市道",5.5,"第２種中高層住居専用地域",60,200,"平成29年第３四半期","",""
96,"宅地(土地)","住宅地","31201","鳥取県","鳥取市","秋里","鳥取","30分?60分",11000000,"200000","","180",61000,"ほぼ長方形","17.0","","","","","","北東","市道",9.0,"第２種中高層住居専用地域",60,200,"平成28年第４四半期","",""
97,"宅地(土地)","住宅地","31201","鳥取県","鳥取市","秋里","鳥取","30分?60分",5500000,"97000","","185",29000,"袋地等","3.0","","","","","","南東","市道",5.5,"近隣商業地域",80,200,"平成28年第３四半期","",""
98,"宅地(土地)","住宅地","31201","鳥取県","鳥取市","秋里","鳥取","30分?60分",30000000,"190000","","520",57000,"ほぼ長方形","17.0","","","","","","北西","市道",16.0,"第２種中高層住居専用地域",60,200,"平成28年第１四半期","",""
99,"宅地(土地)","住宅地","31201","鳥取県","鳥取市","秋里","鳥取","30分?60分",38000000,"170000","","740",51000,"長方形","24.0","","","","","","北西","市道",6.0,"第２種中高層住居専用地域",60,200,"平成27年第３四半期","",""
100,"宅地(土地と建物)","住宅地","31201","鳥取県","鳥取市","秋里","鳥取","30分?60分",36000000,"","","180",,"長方形","12.0","115","平成27年","軽量鉄骨造","住宅","住宅","西","市道",6.5,"第２種中高層住居専用地域",60,200,"平成27年第２四半期","",""
101,"宅地(土地と建物)","住宅地","31201","鳥取県","鳥取市","秋里","鳥取","30分?60分",37000000,"","","175",,"ほぼ長方形","14.5","110","平成27年","軽量鉄骨造","住宅","住宅","南東","市道",6.0,"第２種中高層住居専用地域",60,200,"平成27年第１四半期","",""
102,"宅地(土地と建物)","住宅地","31201","鳥取県","鳥取市","秋里","鳥取","30分?60分",40000000,"","","210",,"ほぼ長方形","13.0","145","平成27年","軽量鉄骨造","住宅","住宅","南西","市道",8.5,"第２種中高層住居専用地域",60,200,"平成27年第１四半期","",""
103,"宅地(土地と建物)","住宅地","31201","鳥取県","鳥取市","秋里","鳥取","30分?60分",54000000,"","","260",,"ほぼ長方形","18.0","165","平成27年","軽量鉄骨造","住宅","住宅","北西","市道",16.0,"第２種中高層住居専用地域",60,200,"平成27年第１四半期","",""
104,"宅地(土地)","宅地見込地","31201","鳥取県","鳥取市","秋里","鳥取","30分?60分",1700000,"18000","","310",5400,"ほぼ長方形","","","","","","","接面道路無","",,"第１種住居地域",60,200,"平成27年第１四半期","",""
105,"宅地(土地と建物)","住宅地","31201","鳥取県","鳥取市","秋里","鳥取","30分?60分",38000000,"","","180",,"ほぼ長方形","11.0","115","平成27年","軽量鉄骨造","住宅","住宅","南東","市道",6.5,"第２種中高層住居専用地域",60,200,"平成27年第１四半期","",""
106,"宅地(土地と建物)","住宅地","31201","鳥取県","鳥取市","秋里","鳥取","30分?60分",11000000,"","","300",,"ほぼ台形","16.5","75","平成3年","軽量鉄骨造","住宅","その他","南","市道",3.0,"第２種中高層住居専用地域",60,200,"平成27年第１四半期","",""
107,"宅地(土地と建物)","住宅地","31201","鳥取県","鳥取市","秋里","鳥取","30分?60分",36000000,"","","185",,"ほぼ長方形","14.1","115","平成27年","軽量鉄骨造","住宅","住宅","南東","市道",6.5,"第２種中高層住居専用地域",60,200,"平成27年第１四半期","",""
108,"宅地(土地)","住宅地","31201","鳥取県","鳥取市","秋里","鳥取","30分?60分",13000000,"220000","","195",67000,"ほぼ長方形","14.5","","","","","住宅","南東","市道",9.0,"第２種中高層住居専用地域",60,200,"平成26年第４四半期","",""
109,"宅地(土地と建物)","住宅地","31201","鳥取県","鳥取市","秋里","鳥取","30分?60分",36000000,"","","180",,"ほぼ長方形","12.0","110","平成26年","軽量鉄骨造","住宅","住宅","北西","市道",6.0,"第２種中高層住居専用地域",60,200,"平成26年第４四半期","",""
110,"宅地(土地)","住宅地","31201","鳥取県","鳥取市","秋里","鳥取","30分?60分",34000000,"160000","","720",47000,"ほぼ長方形","23.0","","","","","その他","南東","市道",6.0,"第２種中高層住居専用地域",60,200,"平成26年第３四半期","",""
111,"宅地(土地と建物)","住宅地","31201","鳥取県","鳥取市","秋里","鳥取","30分?60分",35000000,"","","540",,"ほぼ長方形","20.0","300","平成9年","軽量鉄骨造","共同住宅","その他","南東","市道",16.0,"第２種中高層住居専用地域",60,200,"平成26年第３四半期","",""
112,"宅地(土地と建物)","住宅地","31201","鳥取県","鳥取市","秋里","鳥取","30分?60分",4000000,"","","85",,"ほぼ長方形","7.0","70","昭和46年","木造","住宅、店舗","","北西","市道",4.0,"第２種中高層住居専用地域",60,200,"平成26年第１四半期","",""
113,"宅地(土地と建物)","住宅地","31201","鳥取県","鳥取市","秋里","鳥取","30分?60分",9000000,"","","220",,"長方形","13.0","135","昭和45年","木造","住宅","","南西","市道",4.0,"第２種中高層住居専用地域",60,200,"平成25年第４四半期","",""
114,"宅地(土地)","住宅地","31201","鳥取県","鳥取市","秋里","鳥取","30分?60分",15000000,"56000","","890",17000,"不整形","24.0","","","","","","東","市道",4.0,"第２種中高層住居専用地域",60,200,"平成25年第３四半期","",""
115,"宅地(土地と建物)","住宅地","31201","鳥取県","鳥取市","秋里","鳥取","30分?60分",26000000,"","","410",,"ほぼ長方形","15.5","140","平成15年","木造","住宅","","北西","市道",16.0,"第２種中高層住居専用地域",60,200,"平成25年第３四半期","",""
116,"宅地(土地と建物)","住宅地","31201","鳥取県","鳥取市","秋里","鳥取","30分?60分",30000000,"","","185",,"不整形","3.0","115","平成25年","軽量鉄骨造","住宅","","北西","市道",6.0,"第２種中高層住居専用地域",60,200,"平成25年第３四半期","",""
117,"農地","","31201","鳥取県","鳥取市","秋里","","",22000000,"","","610",,"","","","","","","","","",,"",,,"平成29年第２四半期","",""
118,"農地","","31201","鳥取県","鳥取市","秋里","","",17000000,"","","300",,"","","","","","","","","",,"",,,"平成27年第１四半期","",""
119,"農地","","31201","鳥取県","鳥取市","赤子田","","",590000,"","","105",,"","","","","","","","","",,"",,,"平成25年第３四半期","",""
120,"宅地(土地)","住宅地","31201","鳥取県","鳥取市","朝月","鳥取","1H?1H30",2600000,"14000","","610",4300,"不整形","13.0","","","","","その他","南東","市道",3.5,"市街化調整区域",70,400,"平成27年第３四半期","",""
121,"林地","","31201","鳥取県","鳥取市","有富","","",14000,"","","185",,"","","","","","","","","",,"",,,"平成28年第３四半期","",""
122,"林地","","31201","鳥取県","鳥取市","有富","","",530000,"","","5000㎡以上",,"","","","","","","","","",,"",,,"平成27年第４四半期","",""
123,"林地","","31201","鳥取県","鳥取市","有富","","",2500000,"","","5000㎡以上",,"","","","","","","","","",,"",,,"平成27年第４四半期","",""
124,"林地","","31201","鳥取県","鳥取市","有富","","",530000,"","","5000㎡以上",,"","","","","","","","","",,"",,,"平成26年第２四半期","",""
125,"宅地(土地と建物)","商業地","31201","鳥取県","鳥取市","今町","鳥取","6",8400000,"","","200",,"長方形","6.0","150","","木造","店舗","住宅","北西","市道",12.0,"商業地域",80,400,"平成29年第３四半期","",""
126,"宅地(土地と建物)","商業地","31201","鳥取県","鳥取市","今町","鳥取","4",15000000,"","","90",,"ほぼ長方形","11.0","240","昭和51年","ＲＣ","店舗","店舗","南","市道",8.0,"商業地域",80,600,"平成28年第４四半期","",""
