"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
12388,"宅地(土地と建物)","住宅地","36405","徳島県","板野郡上板町","西分","板野","1H?1H30",28000000,"","","1600",,"ほぼ正方形","42.0","390","平成7年","鉄骨造","倉庫","","東","町道",7.0,"都市計画区域外",,,"平成22年第３四半期","",""
12389,"宅地(土地)","宅地見込地","36405","徳島県","板野郡上板町","西分","板野","1H?1H30",12000000,"60000","","680",18000,"不整形","50.0m以上","","","","","","南","町道",2.5,"都市計画区域外",,,"平成22年第１四半期","",""
12390,"宅地(土地)","住宅地","36203","徳島県","小松島市","田浦町","中田(徳島)","30分?60分",3000000,"150000","","65",45000,"台形","8.9","","","","","","北東","市道",2.5,"市街化調整区域",,,"平成23年第４四半期","",""
12391,"宅地(土地と建物)","住宅地","36203","徳島県","小松島市","田浦町","中田(徳島)","30分?60分",16000000,"","","165",,"ほぼ長方形","8.5","90","平成22年","木造","住宅","","南東","私道",4.0,"市街化調整区域",70,200,"平成23年第３四半期","",""
12392,"宅地(土地)","住宅地","36203","徳島県","小松島市","田浦町","中田(徳島)","16",21000000,"380000","","185",110000,"ほぼ長方形","13.0","","","","","","南東","県道",6.0,"市街化調整区域",70,200,"平成23年第２四半期","",""
12393,"宅地(土地)","住宅地","36203","徳島県","小松島市","田浦町","中田(徳島)","16",11000000,"260000","","135",80000,"不整形","27.5","","","","","","北西","県道",6.0,"市街化調整区域",70,200,"平成23年第２四半期","",""
12394,"宅地(土地)","住宅地","36203","徳島県","小松島市","田浦町","中田(徳島)","28",15000000,"200000","","250",60000,"台形","16.0","","","","","","南東","県道",7.4,"市街化調整区域",70,200,"平成23年第１四半期","",""
12395,"農地","","36203","徳島県","小松島市","田浦町","","",17000000,"","","710",,"","","","","","","","","",,"",,,"平成23年第２四半期","",""
12396,"農地","","36405","徳島県","板野郡上板町","西分","","",2000000,"","","2300",,"","","","","","","","","",,"",,,"平成22年第３四半期","",""
12397,"農地","","36203","徳島県","小松島市","田浦町","","",11000000,"","","920",,"","","","","","","","","",,"",,,"平成23年第１四半期","",""
12398,"宅地(土地)","住宅地","36203","徳島県","小松島市","立江町","阿波赤石","10",6400000,"160000","","130",48000,"台形","11.0","","","","","","東","私道",4.0,"市街化調整区域",70,200,"平成23年第４四半期","",""
12399,"宅地(土地)","住宅地","36203","徳島県","小松島市","立江町","立江","14",7700000,"130000","","195",40000,"ほぼ整形","11.0","","","","","","北","市道",5.5,"市街化調整区域",70,200,"平成23年第４四半期","",""
12400,"宅地(土地)","住宅地","36203","徳島県","小松島市","立江町","立江","11",9800000,"24000","","1400",7300,"ほぼ台形","","","","","","","南","市道",4.0,"市街化調整区域",,,"平成23年第３四半期","",""
12401,"林地","","36468","徳島県","美馬郡つるぎ町","一宇","","",1000000,"","","5000㎡以上",,"","","","","","","","","",,"",,,"平成22年第３四半期","",""
12402,"宅地(土地)","住宅地","36468","徳島県","美馬郡つるぎ町","貞光","貞光","10",20000000,"160000","","410",48000,"長方形","10.0","","","","","","東","町道",4.3,"市街化区域及び市街化調整区域外の都市計画区域",70,200,"平成22年第３四半期","",""
12403,"宅地(土地と建物)","住宅地","36468","徳島県","美馬郡つるぎ町","貞光","貞光","12",9000000,"","","490",,"ほぼ長方形","12.0","","","","","","東","私道",4.0,"市街化区域及び市街化調整区域外の都市計画区域",,,"平成22年第３四半期","",""
12404,"宅地(土地)","商業地","36468","徳島県","美馬郡つるぎ町","貞光","貞光","7",10000000,"150000","","230",45000,"ほぼ長方形","11.0","","","","","","南","国道",6.0,"市街化区域及び市街化調整区域外の都市計画区域",,,"平成22年第２四半期","",""
